ID#,Funguy Name,Rarity,Biome,Class,Role,Key Synergy #1,Key Synergy #2,Key Synergy #3,HP,ATK,DEF,SPD,POT,BST,Passive,Passive Description,Signature Skill,Skill Description,Cooldown,Ultimate name,Ultimate Description,Core Ability,Base Effect (Lvl 1),Final; Evolution (lvl 10),,,,,,,,,,,,,,,,,,,
11,Veiled Siren,SR,Wetlands,Assassin,Stealth,Shadow Step,,,95,140,90,155,130,610,Aquatic Ripple,"activate ""Stealth"" for 1 turn after inflicting a status ailment.",Mesmerizing Wail,High chance to Confuse or Sleep. Increased damage to Bosses.,3 Turns,Song of the Drowning Veil,"Plunges the entire enemy team into a deep Sleep for 1 turn. Upon waking, they are Confused for 1 turn. Siren remains in unbroken Stealth for 2 turns.",Hypnotic Song,15% chance to reduce target's Turn Meter on hit.,"Attacks and skills have 30% chance to ""Charm"" (target skips turn and hits ally).",,,,,,,,,,,,,,,,,,,
12,Bog Snatcher,SR,Wetlands,Assassin,Stalker,Assassination,Shadow Step,Coup de Grăce,100,165,85,170,90,610,Muddy Claw, +50% damage to targets not in the front row. ,Drag to the Deep,Pulls backline enemy to front and Stuns. If no enemy is in the back line do AoE damage and enter Stealth.,3 Turns,Swamp's Inescapable Grasp,Pulls all backline enemies to the front row (If front row is full pulls them to the middle row). Then stunning the entire team for 1 turn and dealing massive AoE damage. Grants self Stealth and 100% bonus damage to front row targets.,Ambush Hunter,+20% Crit Damage when attacking enemies who haven't moved.,"On kill, enter Stealth and gain +30 SPD for 2 turns.",,,,,,,,,,,,,,,,,,,
13,Slime-Mold Geologist,SR,Wetlands,Mage,Multi-Hit,Armor Shred,,,110,165,100,110,110,595,Viscous Slam,Skills have a 50% chance to trigger again at 50% effectiveness.,Tectonic Shift,Move to a adjacent non occupied space then attack enemies dealing AoE damage twice. 10% chance to apply a stack of Poison.,3 Turns,Seismic Quake,Does a massive AoE quake that strikes 4 times choosing an enemy randomly. Each strike has a 50% chance to apply Poison. The entire attack repeats at 100% effectiveness.,Frictionless Slide,Gain 20% increased Atk and Spd for the turn Slime-Mold moves to an empty space.,"Every 3rd turn, becomes Intangible for 1 turn (untargetable).",,,,,,,,,,,,,,,,,,,
14,Peat-Moss Shaman,SR,Wetlands,Tank,Battery,Overclock,The Battery,,160,90,140,80,130,600,Ritual Staff,Energy granted to others by Shamans ability grants Shaman a equal % Max HP shield.,Nature’s Restoration,Restores 25% Energy to an ally.,3 Turns,Ancestral Ritual,Restores 100% Energy to the ally with the lowest Energy and grants the entire team a shield equal to 50% of the Shaman's Max HP.,Bog Spirits,20% chance to restore 5% Energy to all allies on basic attack.,Energy restore increased by 15% for ally with highest ATK.,,,,,,,,,,,,,,,,,,,
15,Bioluminescent Angler,SR,Wetlands,Support,Buffer,Overclock,,,100,95,90,115,200,600,Neon Bite,Heal lowest current % health ally on basic attack.,Abyssal Lure,Increases the next ally's attack or ability damage or efficiency by 50%.,3 Turns,Abyssal Maw,Heals the lowest HP ally to full. Empowers the entire team's next action by +150% effectiveness.,Deep Glow,Enemies lose 5% Atk when hitting an ally. (stacks to 25%).,"The enemies enter a state of confusion at 5 stacks of deep glow, lose all stacks, gains the Confused status for 1 turn and attacks their own team once.",,,,,,,,,,,,,,,,,,,
16,Swamp Truffle,SR,Wetlands,DPS,Duelist,Shatter,,,100,180,100,120,100,600,Filth,Gains 10% lifesteal against poisoned enemies.,Toxic Film,Applies Poison to one enemy; increases own Healing Received by 50% for the next 2 turns.,3 Turns,Toxic Banquet,"Applies 3 stacks of Poison to all enemies. For the next 2 turns, all allies gain 50% Lifesteal against Poisoned targets.",Stagnant Armor,10% chance to increase ATK by 10% when hit by an enemy.,Poisoned enemies deal 20% less damage to Swamp Truffle.,,,,,,,,,,,,,,,,,,,
17,Black-Yeasted Diver,SR,Wetlands,Mage,DoT,Attrition,Plague Wind,,110,150,100,100,140,600,Dark Ferment,Basic attacks have a small chance to apply a stack of Poison.,Pressure Explosion,Dmg scales based on target's DoTs.,3 Turns,Fermented Depth Charge,"Detonates all DoT effects on the enemy team instantly, dealing 300% of their remaining damage at once, and reapplying 1 stack of Poison to survivors.",Deep Ferment,DoT effects applied last 1 additional turn.,"When a DoT expires, deal 50% of its total damage instantly.",,,,,,,,,,,,,,,,,,,
18,Marsh Marasmius,SR,Wetlands,Tactician,Captain,Gourmet Line,The Battery,,120,120,120,140,100,600,Root Tangler,"Basic attacks force enemy to move, if possible.",Boggy Trap,Sets a trap in 3 random enemy grids that don't already have traps. Force one enemy to move to a random grid. If an enemy lands on a grid they are dealt enormous damage and is Rooted for a turn.,3 Turns,Labyrinth of the Quagmire,"Places a Trap on every enemy grid. Forces all enemies to move randomly, guaranteeing trap detonations that deal immense damage and permanently Root them.",Swamp Tugging,Status effects on enemies deal 20% more damage,Rooted enemies take 75% more damage and are poisoned for 3 turns.,,,,,,,,,,,,,,,,,,,
19,Candelabra Hunter,SR,Wetlands,DPS,Nuker,Sniper Nest,,,90,175,80,150,90,585,Flicker Blade,increases Crit damage by 10%.,Exorcism,2.0x damage to targets with status effects.,3 Turns,Exorcist's Final Flame,"Deals devastating single-target damage, multiplied by 3.0x if the target has any status effects. Guaranteed critical hit with +50% Crit Damage.",Soul Flicker,Increases Crit Rate by 10% against targets with < 50% HP.,Dealing a Crit hit reduces enemy DEF by 10% (stacks).,,,,,,,,,,,,,,,,,,,
20,Willow-Bracket,SR,Wetlands,Tactician,Bomber,The Minefield,,,130,140,120,110,100,600,Anchor Drop,When an enemy moves place a mushroom bomb in the spot they just left. Bombs detonate when space becomes occupied doing AoE damage. ,Shipwreck,Heavy AoE slam that reduces enemy ATK and moves all enemies to a random unoccupied grid,3 Turns,Catastrophic Shipwreck,Reduces enemy ATK by 50%. Places a mushroom bomb on every empty tile; bombs instantly detonate if an enemy is knocked into them.,Boarding Party,10% ATK for every Wetlands ally alive. Gain 5% Def for every mushroom left on enemy field.,Basic attacks deal Splash damage to adjacent enemies.,,,,,,,,,,,,,,,,,,,
21,Xylaria Bone-Breaker,SR,Decay,Tank,Taunt,Attrition,Lifeline,Vengeance,155,90,175,80,100,600,Marrow Crush,Lower attackers Atk 10% for 1 turn stacks debuff for each hit.,Fracture,Damage + Permanent Defense reduction by 5%.,3 Turns,Shattered Marrow Execution,"Deals heavy single-target damage, reducing the target's ATK and DEF by 50% for 3 turns and grants them the taunt buff for 3 turns. If the target dies, the debuff spreads to all remaining enemies.",Calcium Siphon,Permanent taunt status,When taking damage gain 2% def until end of battle (permanent status),,,,,,,,,,,,,,,,,,,
22,Inky Cap Assassin,SR,Decay,DPS,Nuker,Sniper Nest,,,90,170,85,150,120,615,Midnight Dagger,Attacks enemy with lowest health if possible,Final Dissolve,Executes targets below 20% HP instantly.,3 Turns,Midnight Dissolution,"Targets the lowest HP enemy performing a basic attack at 150% power and executes them instantly if their below 40% HP. If successful, resets cooldown and repeats ultimate skill immediately.",Void-Stained Dagger,Inky Cap's Skills and ultimates ignore an additional 15% Defense.,Targets hit by Final Dissolve cannot be healed for 2 turns; explode for 20% HP on death.,,,,,,,,,,,,,,,,,,,
23,Dead Man’s Fingers,SR,Decay,DPS,Drinker,Vampiric Link,,,90,180,90,140,100,600,Jagged Edge,When current health is lower than 80% gain 10% lifesteal on attacks and skills.,Berserker’s Call,Consume 10% HP to deal 2x damage.,3 Turns,Grasp from the Grave,Grants 100% Lifesteal for 3 turns then consumes 50% of current HP to deal devastating 500% damage to one target.,Blood Rage,ATK increases by 1% for every 2% HP lost.,"While below 30% HP, gain 30% Life-Steal.",,,,,,,,,,,,,,,,,,,
24,Scum-Layer Sentinel,SR,Decay,Tank,Saboteur,Assassination,Cataclysm,Armor Shred,170,90,145,90,100,595,Acid Spray,Basic attacks lower targets Atk stat by 10% for 2 turns.,Rotting Gas,AoE attack that reduces enemy POT 10%.,3 Turns,Noxious Rot Cloud,"Reduces the enemy team ATK and POT by 40% for 3 turns, applies a burn stack.",Choking Fumes,"While alive, reduces all enemies' Healing Received by 10%.",Enemies below 50% HP have their Defense reduced by 20%.,,,,,,,,,,,,,,,,,,,
25,Jack O’Lantern,SR,Decay,Mage,AoE,Cataclysm,,,110,160,90,110,130,600,Kindling,"For every enemy currently burning, gain 5% atk.",Harvest Flare,High AoE damage; 50% Burn chance.,3 Turns,Inferno of the Harvest,"Ignites all enemies with a 100% Burn chance granting them a stack of burn. Gains +15% ATK for every Burn stack applied, then unleashes a massive AoE flare with 100% basic attack power.",Wick-Burn,"Attacks apply ""Burn"" (2% Max HP damage/turn).",Burned targets lose 10% DEF and spread Burn to their allies.,,,,,,,,,,,,,,,,,,,
26,Bleeding Tooth,SR,Decay,Assassin,Multi-Hit,Armor Shred,,,80,160,90,170,100,600,Spore Rapidfire,Basics hit 2 different enemies,Cluster Bombard,4 random shots; 2x damage to Shields.,3 Turns,Crimson Spore Barrage,Fires 12 random shots across the enemy team. Deals 4x damage to Shields and permanently shatters them upon impact.,Spore Volley,Hits have a chance to add a stack of bleed.,Crits have a 20% chance to reduce skill cooldown by 1 turn.,,,,,,,,,,,,,,,,,,,
27,Death Cap Alchemist,SR,Decay,Support,CC,Shatter,,,130,100,120,130,120,600,Multi-Fan,Deals increased damage to enemies suffering from a debuff.,Chromatic Wind,Shows enemy team by 20% for 2 turns.,3 Turns,Chromatic Death Wind,"Reduces enemy SPD by 50% for 3 turns. Deals massive AoE damage do all enemies, increased in power by 20% times the number of debuffs on each enemy.",Fan-Spread,When an ally hits a slowed enemy that ally gains a 10% max health shield.,When a slowed enemy dies they explode dealing 40% max health damage AoE.,,,,,,,,,,,,,,,,,,,
28,Devil’s Urn,SR,Decay,Support,Purifier,Purifying Ward,,,110,100,100,150,140,600,Vibrating Spear,Heals allies when enemies are revealed.,Echo Location,Reveals enemies in Stealth; increases allies Spd by 10% for 1 turn.,3 Turns,Screech of the Damned Urn,Removes all enemies of Stealth and 1 additional buff (if present). Increases team SPD by 30% for 2 turns and heals allies based Devil Urn's POT at 20% times the number of buffs removed.,Vibrational Sense,Enemies coming out of stealth have their stats lowered by 10% for 1 turn.,"At start of each turn, removes a debuff from an ally.",,,,,,,,,,,,,,,,,,,
29,Black Trumpet,SR,Decay,Tactician,Captain,Gourmet Line,The Battery,,130,100,110,110,150,600,Gore Siphon,Increases teams crit chance by 15%.,Vampiric Feast,Damage + heals self for 100% of damage dealt.,3 Turns,Symphony of the Blood Feast,"Boosts team Crit Chance to 100% for 1 turn. Deals massive AoE damage, healing the entire team for 100% of the damage dealt.",Hemoglobin Drain,Crits heal the unit for 15% of damage dealt.,Over-healing from Crits increases Max HP permanently.,,,,,,,,,,,,,,,,,,,
30,Carbon Ball Ninja,SR,Decay,Assassin,Stealth,Shadow Step,,,90,180,80,180,60,590,Soot,Crit damage increased by 50%,Blackout,Enters Stealth; and attacks with a guaranteed Crit.,3 Turns,Soot-Cloud Assassination,"Enters Stealth for 2 turns. The next three attacks are guaranteed Critical Hits with +150% Crit Damage, instantly returning to Stealth after each hit.",Charcoal Veil,Enters stealth at the start of battle.,Attacking from Stealth deals True Damage (ignores Defense).,,,,,,,,,,,,,,,,,,,
31,Blue Lichen Sniper,SR,Tundra,DPS,Multi-Hit,Armor Shred,,,115,165,95,140,100,615,Frost Bolt,"If attacks hit a frozen enemy, basic attack them again. Max 3x.",Zero-In,"Grants self 50% Defense Penetration then basic attacks a frozen target, if any. If not proceed with basic attack.",3 Turns,Absolute Zero Volley,"Grants all allies 20% Defense Penetration. Fires a piercing shot that hits all Frozen enemies 5 times in rapid succession, instantly shattering them, removing the debuff for massive bonus damage.",Cold Precision,If target is frozen next attack deals +25% damage. (stacks),Crits have a  40% chance to Freeze target (skip turn).,,,,,,,,,,,,,,,,,,,
32,Snow-Bank Hermit,SR,Tundra,Tank,Cover,Not Alone,Fortress,Purifying Ward,175,80,170,70,120,615,Frozen Shield,Jumps in front of the first ally who will take damage each turn.,Ice Wall,grants a shield (20% Hermit's Max health) for the front line.,3 Turns,Avalanche Bulwark,"Grants a shield equal to 50% of Snow-Bank Hermit's max HP to the entire team and redirects ALL single-target damage to the Hermit for 2 turns, while reflecting 30% of it back.",Chilled Plate,Enemies that hit this unit lose 10 SPD for 1 turn.,All allies gain +15% DEF; doubles if Hermit < 50% HP.,,,,,,,,,,,,,,,,,,,
33,Icicle-Tooth Rogue,SR,Tundra,Assassin,Stalker,Assassination,Shadow Step,Coup de Grăce,90,180,75,150,90,585,Cold Snap,Gains 20% more damage against frozen enemies.,Flash Freeze,Damage + target has a 50% chance to become Frozen for 2 turns.,3 Turns,Glacial Evisceration,Deals heavy damage with a 100% chance to Freeze the target for 3 turns. Deals 200% bonus damage if the target was already Frozen.,Frost-Bite,Attacks deal +15% damage to debuffed or CC'd enemies.,"Whenever an enemy dies, gain cloak(guarantees dodge of next hit).",,,,,,,,,,,,,,,,,,,
34,Permafrost Sentinel,SR,Tundra,Tank,Wall,Fortress,Vanguard,Phalanx,150,80,140,80,150,600,Glacier,While shielded gain immunity to burn.,Blizzard Aura,Reduces SPD of all enemies 20% while alive.,Passive,Eternal Winter's Grasp,Grants all allies a permanent immunity to Burn for 2 turns removing all burn stacks in the process. Drops a blizzard that completely halts the enemy team (reduces SPD by 50%) as long as the Sentinel remains shielded. Grants Sentinel a shield equal to 100% of it's max HP.,Crystal Shell,Starts battle with a Shield (15% Max HP).,Immune to Stun while shield is active.,,,,,,,,,,,,,,,,,,,
35,Alpine Puffball,SR,Tundra,Mage,Bomber,The Minefield,,,100,140,110,130,120,600,Chilly Gale,Attacks have a 25% chance to freeze enemies for 2 turns.,Oxygen Depletion,Deal AoE and reduces ATK and POT by 5%.,3 Turns,Sub-Zero Suffocation,"Deals massive AoE damage, reducing enemy ATK and POT by 25%. Guaranteed to freeze all enemies for 1 turn.",High Altitude,SPD +5% for every frozen enemy.,Apply Brittle to enemies that are Frozen.,,,,,,,,,,,,,,,,,,,
36,Star-Tip Scout,SR,Tundra,Support,Battery,Overclock,The Battery,,100,100,90,195,100,585,Comet Dash,Adds 20% of Spd to Atk.,Starlight Rush,Grants 1 ally an immediate extra turn.,3 Turns,Supernova Sprint,Converts 50% of the Scout's SPD into ATK for the team. Grants two allies an immediate extra turn with fully refreshed cooldowns.,Light Speed,Start battle with 50% ultimate energy filled.,"On turn 1, grants the entire team +20% SPD for 2 rounds.",,,,,,,,,,,,,,,,,,,
37,Bitter-Cold Oyster,SR,Tundra,Support,Purifier,Purifying Ward,,,120,120,130,110,120,600,Shell Cracker,10% Chance to apply Brittle on attacks.,Frostbite Grip,Damage + removes 1 debuff from an ally and heals them by 20% of Oyster's POT.,3 Turns,Shattering Frost-Grip,"Fully cleanses the team of all debuffs. Deals heavy damage to one enemy, applying a 100% Brittle debuff (takes double damage from next attack).",Brittle Strike,Deals 20% more damage to Frozen enemies and applies Brittle to those that had a shield.,"10% chance to ""Shatter"" Frozen targets for 15% Max HP.",,,,,,,,,,,,,,,,,,,
38,Glassy Bracket,SR,Tundra,Tank,Taunt,Attrition,Lifeline,Vengeance,160,90,160,60,130,600,Crystallized,Damage dealt to one-self has a chance of lowering atk.,Refractive Shield,Taunts and Reflects 50% of next attack to caster.,3 Turns,Mirror of the Ice-Queen,Taunts all enemies for 2 turns. Reflects 100% of all incoming damage back to the attackers while reducing their ATK by 10% per hit for 2 turns.,Prism Mirror,Reflects an additional 10% of incoming damage. (affected by POT).,Reflect increases to 30%. Refect damage now applies Brittle,,,,,,,,,,,,,,,,,,,
39,Aurora Mycena,SR,Tundra,Support,Medic,Brawling Pair,Vanguard,,110,120,100,120,150,600,Prism Flash,Aurora's heals are 10% stonger.,Cosmic Dance,Heals team and grants 15% Crit Rate for 1 turn.,3 Turns,Northern Lights Crescendo,"Bathes the team in cosmic light, healing all allies at 50% POT efficiency, doubling all incoming healing for 3 turns, and granting a 50% Crit Rate boost.",Night Sky Blessing,"20% chance per turn to grant ""Luminescence"" (+10% Crit) to a random ally.",Luminescence also increases SPD by 15%.,,,,,,,,,,,,,,,,,,,
40,Glacial Polypore,SR,Tundra,Tactician,Captain,Gourmet Line,The Battery,,130,90,130,110,140,600,Ice Chip,Grants Team 10% chance to freeze on basic attacks.,Flash Thaw,"Removes a debuff from itself, increases SPD by 10% and then basic attacks the nearest enemy..",3 Turns,Thawing Tsunami,Cleanses all team debuffs and grants itself 10% SPD per debuff removed for 4 turns. All ally basic attacks has a 50% additional chance to Freeze for 2 turns.,Purifying Ice,Cleanses 1 debuff from lowest HP ally every 2 turns.,Purification also heals target for 10% of the targets Max HP.,,,,,,,,,,,,,,,,,,,
41,Bread Mold,SR,Kitchen,Mage,DoT,Attrition,Plague Wind,,100,145,85,120,125,575,Toasted,Burns stack twice.,Spreading Ferment,Applies a spreading burn to target enemy that spreads to a random neighboring enemy every turn lasts 2 turns.,3 Turns,The Great Stalling,Applies a volatile Burn to all enemies. While they remain Burns stack now tick twice per turn for 3 turns and reduce enemy healing received by 50%.,Blue Bloom,DoTs deal 10% more damage.,Enemies dying from DoTs grant 10% Energy to the team.,,,,,,,,,,,,,,,,,,,
42,Grey Oyster,SR,Kitchen,Tank,Taunt,Attrition,Lifeline,Vengeance,160,60,160,90,105,575,Shell up,Gain a 15% max health shield every other turn.,Gourmet Platter,Taunts enemies and restores 25% max HP,3 Turns,Master Chef's Feast,Taunts all enemies for 3 turns. Restores 100% Max HP and grants a 25% Max HP shield that regenerates every turn.,Chef’s Table,Any ally in the same row gains 10% Healing.,"While this unit is alive, the whole team is immune to Poison.",,,,,,,,,,,,,,,,,,,
43,Yeast Bud,SR,Kitchen,Support,Battery,Overclock,The Battery,,115,80,110,130,140,575,Rising Jab,Whenever an ally takes a turn because of the boost of energy restore their health by 10%.,Over-Proofing,Grants 100% Energy to one ally with the lowest energy. ,3 Turns,Hyper-Fermentation,Grants 60 Energy to ALL allies and immediately heals them for 30% of their Max HP.,Rapid Rise,Energy bar only needs to be filled 80%. (energy increases are 20% more effective on Yeast Bud),"When using a skill, has a 30% chance to reset own cooldown.",,,,,,,,,,,,,,,,,,,
44,Crimini Cadet,SR,Kitchen,Assassin,Stalker,Assassination,Shadow Step,Coup de Grăce,100,165,75,135,100,575,Searing Blade,Increases Spd by 5% permanently if multiple hits occurred.,Julienne Slash,Targets the Funguy with the lowest Def. 4 rapid strikes; ignores 5% DEF for each consecutive hit.,3 Turns,Thousand-Slice Julienne,Targets the lowest DEF enemy. Unleashes 10 rapid strikes; each consecutive hit ignores 10% DEF and boosts the Cadet's SPD by 10%.,Kitchen Knife,+10% Crit Damage.,"On a Critical Hit, immediately basic attacks again (1x per turn).",,,,,,,,,,,,,,,,,,,
45,Shiitake Sensei,SR,Kitchen,Tactician,Captain,Gourmet Line,The Battery,,110,90,90,140,145,575,Umami Strike,Applies Burn on basic attacks at a 40% chance.,Master’s Recipe,"Grants the team a random ""Taste"" buff for 2 turns (ATK, DEF, or SPD). ",3 Turns,Armor of the Umami Shogun,"Grants all allies a stack of the 3 ""Taste"" buffs (ATK, DEF, and SPD) for 2 turns. Basic attacks now have a 100% chance to inflict Burn.",Old Wisdom,Buffs applied last 1 additional turn.,Buffs cannot be cleansed by enemy skills.,,,,,,,,,,,,,,,,,,,
46,Witch's Butter,SR,Kitchen,Support,Buffer,Overclock,,,110,90,100,130,145,575,Substance,10% chance to apply Intangible to self.,Golden Glaze,Makes an ally Intangible (untargetable) for 1 turn.,3 Turns,Cauldron's Golden Invincibility,Grants all allies Intangible (untargetable/invulnerable) for 1 turn and applies a powerful Regen effect.,Slippery Surface,Intangible Allies gain 10% boost in all stats except crit and crit damage,"After applying a buff, grants the team a 5% SPD buff (stacks up to 25%).",,,,,,,,,,,,,,,,,,,
47,Morel Scout,SR,Kitchen,DPS,Buffer,Overclock,,,90,145,90,150,100,575,Pitted Spear,Attacks have a 10% chance to drop 'Scraps'. They provide a small team heal.  (chance doubled on crits),Flavor Finder,Increases team crit damage and Crit Rate for 2 turns by 10%,3 Turns,Bountiful Forage,"Put 'Scraps', a type of buffing trap, on the ally teams side. If an ally is on a Scrap trap they consume it and get regen for 3 turns and increases their Crit Damage and Crit Rate by 30%.",Forest Forage,Passive increases to 30% chance.,Picking up a Health Scrap increases the Morel's ATK by 5% permanently.,,,,,,,,,,,,,,,,,,,
48,Enoki Archer,SR,Kitchen,DPS,Multi-Hit,Armor Shred,,,100,160,90,125,100,575,Bundle Shot,Attacks on enemies suffering from a debuff do 10% more damage,Needle Rain,"launches 3 attacks at random enemies that has a high chance to apply ""Vulnerability.""",3 Turns,Needle-Storm Execution,"Fires a massive volley of 20 arrows at 20% efficiency that guarantees ""Vulnerability"" on all targets. Deals 50% bonus damage to enemies suffering from any debuffs.",String Tension,Every consecutive attack in a turn increases in damage by 5%.,Needle Rain attack fires twice; second hit deals True Damage. (ignores all defense),,,,,,,,,,,,,,,,,,,
49,Turkey Tail Guard,SR,Kitchen,Tank,Cover,Not Alone,Fortress,Purifying Ward,145,90,130,100,110,575,Fan Sweep,"Blocks damage passively for an ally with the lowest DEF. (Turkey's stats are used in calculations, only blocks single target attacks. )",Layered Protection,Provides a stacking DEF buff to the entire front row.,3 Turns,Impenetrable Plumage,Redirects ALL single-target damage from the back row to itself for 2 turns using the Guard's massive DEF stat. Grants a stacking 20% DEF buff to the entire team.,Tough Texture,Gains +15% DEF if a Kitchen ally is present.,Reduces all damage taken by 20%,,,,,,,,,,,,,,,,,,,
50,Lobster Fungus,SR,Kitchen,Support,Medic,Brawling Pair,Vanguard,,150,80,95,100,150,575,Pincer Heal,Applies Regen to a frontline ally.,Butter Bath,Grants a 20% max health shield to self then heals most damaged ally.,3 Turns,Crustacean Bisque Deluge,Grants a massive 50% Max HP shield to the entire team and immediately applies an overwhelming Regen effect to the front row.,Boiling Point,Applying regen grants a 20% max health shield to Lobster Fungus.,"Upon enemy death, apply regen to another ally who doesn't have regen.",,,,,,,,,,,,,,,,,,,
