 Core Systems Glossary,,,,
,,,,
Vantage,Increases Accuracy by 20%; bypasses Evasion/Stealth checks.,,Vulnerability,Increases all damage taken by the target by 15-20%.
Stealth,Unit cannot be targeted by single-target attacks. Ends after attacking.,,Poison (DoT),Deals % Max HP damage every turn. Ignores Defense.
Intangible,Unit is immune to all damage and effects for 1 turn; cannot be targeted.,,Burn (DoT),Deals stackable flat damage and reduces the target's Defense by 10%.
Luminescence,Increases Crit Rate by 10%. Can stack with other ATK buffs.,,Bleed (DoT),Deals damage whenever the afflicted unit takes an action.
Frost Shield,"A temporary HP barrier. While active, the unit is immune to Freeze.",,Stat Reductions,"Any ability that reduces stats, permanently, timed or stacked."
Regen,Restores a fixed % of Max HP at the start of each turn. Lasts for 3 turns. Stacks,,Brittle,Increases the chance that the target will be Critically Hit by 25%.
Reflect,Returns a portion of incoming damage back to the attacker.,,Silence,Target can only use Basic Attacks; Signature Skills are locked.
Immortality,"Prevents death once then removes a stack of immortality, the unit survives with 1 HP.",,Charm,Target is forced to use their Basic Attack on their own ally.
Cloak,Dodge 1 attack.,,Confusion,Target has a 50% chance to attack their own teammates.
Increase of Stats,"Any ability that increases stats, permanently, timed or stacked.",,,
,,,,
, 3. Crowd Control & Manipulation (CC),,,
,,,,
Name,Effect Description,,,
Freeze,Target skips their turn entirely. can be stacked,,,
Move,moves the target's position randomly or as specified,,,
Root,Target cannot be moved/swapped and cannot dodge.,,,
Stun,Target skips their turn. Does not break upon taking damage.,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
 Class Archetype Definitions,,,,
,,,,
 1. Tank (The Frontline Anchor),,,,
,,,,
 Role: To absorb damage and protect the more fragile units.,,,,
" Mechanics: High HP and DEF. They often possess ""Taunt"" mechanics (forcing enemies to hit them) or ""Shield"" abilities.",,,,
,,,,
 2. DPS / Duelist (The Heavy Hitter),,,,
,,,,
 Role: To eliminate high-priority targets as quickly as possible.,,,,
" Mechanics: High ATK and SPD. They focus on single-target burst damage and critical hits. They are usually ""glass cannons""—high damage, but low survivability.",,,,
,,,,
 3. Mage / AoE (The Area Specialist),,,,
,,,,
 Role: To soften up the entire enemy team or apply wide-scale status effects.,,,,
 Mechanics: Balanced ATK and POT. Their skills usually hit multiple targets (Area of Effect) or apply Damage over Time (DoT) like Poison or Burn.,,,,
,,,,
 4. Support / Medic (The Lifeline),,,,
,,,,
 Role: To keep the team alive and cleanse negative effects.,,,,
" Mechanics: High POT and HP. They specialize in healing, removing debuffs (Cleansing), or providing defensive utility like Evasion buffs.",,,,
,,,,
 5. Tactician (The Force Multiplier),,,,
,,,,
 Role: To control the flow of battle and enhance ally capabilities.,,,,
" Mechanics: High SPD and POT. They don't deal much damage themselves; instead, they manipulate the Turn Meter, reset cooldowns, or provide complex, role-based buffs.",,,,
,,,,
 6. Assassin / Rogue (The Disruptor),,,,
,,,,
 Role: To bypass the enemy frontline and take out the backline.,,,,
" Mechanics: Highest SPD and Crit. They often use ""Stealth"" to remain untargetable while waiting for the perfect moment to ""Execute"" a weakened enemy.",,,,
,,,,
,,,,
"Think of **Class** as the ""What"" (the stats) and **Role** as the ""How"" (the strategy).",,,,
,,,,
 1. Class (The Stat Skeleton),,,,
"The Class is a rigid category that dictates the Math. Every single Tank in the game follows the same stat distribution logic. This makes it easier for you to balance the game's math because you know that if a unit is a ""Tank,"" it will always have high HP and DEF.",,,,
,,,,
 2. Role (The Kit's Personality),,,,
The Role is the Behavior of that unit's skills. This is why two Fungi in the same Tank Class can feel completely different to play.,,,,
,,,,
"Example: Two ""Tank Class"" Fungi",,,,
" Porcelain Guard (05): Role is ""Taunt Tank."" His job is to force enemies to hit him.",,,,
" Snow-Bank Hermit (32): Role is ""Cover Tank."" He doesn't make enemies hit him; he creates a ""Ice Wall"" to protect others.",,,,
,,,,
,,,,
Class,Possible Roles (Kit Style),,,
Tank,"Wall, Taunt, Cover, Juggernaut",,,
DPS,"Nuker, Duelist, Multi-Hit, Execute",,,
Mage,"DoT, AoE, Saboteur (Debuffer)",,,
Support,"Medic (Healer), Purifier, Buffer, Battery (Energy)",,,
Tactician,"Disruptor, Tempo, Commander, Mimic",,,
Assassin,"Stealth, Rogue, Stalker, Poisoner",,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
